일련번호,시도명,시군구명,대피지구명,대피장소명,주소,경도,위도,수용가능인원수(명),해변으로부터거리(M),대피소 분류명,내진적용여부,해발높이,관리기관,관리기관연락처
1,강원도,강릉시,강문,강릉고등학교,강원도 강릉시강릉대로587번길 68,128.91686,37.787813,8600,550,공공건축물,2등급,6,42150,033-640-5527
2,강원도,강릉시,강문,강릉교회,강원도 강릉시해안로 333,128.916247,37.793313,3600,100,민간건축물,2등급,6,42150,033-640-5526
3,강원도,강릉시,경포,경포산장콘도,강원도 강릉시안현동 50-2,128.900098,37.809654,800,300,민간건축물,1등급,22.9,42150,033-640-5523
5,강원도,강릉시,경포,현대아파트 앞 야산,강원도 강릉시저동 산10,128.899588,37.801328,1000,800,공터,-,10,42150,033-640-5525
6,강원도,강릉시,남항진,세인트컨벤션웨딩홀,강원도 강릉시공항길127번길 5-3,128.949709,37.765126,1000,250,민간건축물,2등급,12,42150,033-640-5528
7,강원도,강릉시,동덕,강릉원주대학 해양생물연구교육센터,강원도 강릉시사천면 해안로 1166,128.862171,37.850557,5900,150,민간건축물,1등급,7,42150,033-640-5520
8,강원도,강릉시,사천뒷불,장구바위 야산,강원도 강릉시사천면 사천진리 266-25,128.875957,37.840727,300,420,공터,-,10,42150,033-640-5521
9,강원도,강릉시,사천뒷불,강릉성결교회 부설 진리수양관,강원도 강릉시사천면 사천진리 산72-1,128.868683,37.841737,280,1100,민간건축물,1등급,10,42150,033-640-5522
10,강원도,강릉시,심곡,곰두리연수원,강원도 강릉시강동면 심곡리 90-1,129.050392,37.667539,150,350,민간건축물,2등급,61.2,42150,033-640-5530
11,강원도,강릉시,강릉항,송정해변 신도브래뉴아파트,강원도 강릉시견소동 289,128.937913,37.775796,3500,350,민간건축물,1등급,5.5,42150,033-640-5528
12,강원도,강릉시,강릉항,죽도봉,강원도 강릉시견소동 11-1,128.951554,37.769769,800,200,공터,-,32.9,42150,033-640-5569
13,강원도,강릉시,안인,봉화산,강원도 강릉시강동면 안인진리 20-1,128.986957,37.736653,50,300,공터,-,58.2,42150,033-640-5569
14,강원도,강릉시,안인,안인천주교회,강원도 강릉시강동면 안인진리 213-1,128.986083,37.730761,100,500,민간건축물,2등급,11.8,42150,033-640-5528
15,강원도,강릉시,안인,강인교회,강원도 강릉시강동면 안인진리 270-18,128.982591,37.727727,150,600,민간건축물,2등급,11.8,42150,033-640-5528
16,강원도,강릉시,안인,하시동2리 마을회관,강원도 강릉시강동면 하시동리 56-1,128.972745,37.737193,100,900,공공건축물,2등급,26.5,42150,033-640-5528
17,강원도,강릉시,영진항,육군1901부대 2대대,강원도 강릉시연곡면 영진리 137,128.847534,37.866883,700,300,공터,-,28.8,42150,033-640-5519
18,강원도,강릉시,옥계,옥계역,강원도 강릉시옥계면 동해대로 291-14,129.049666,37.619768,70,600,공공건축물,1등급,10.7,42150,033-640-5531
19,강원도,강릉시,옥계,한국여성수련원,강원도 강릉시옥계면 금진솔밭길 148-19,129.046222,37.629532,6300,300,공공건축물,1등급,10,42150,033-640-5532
20,강원도,강릉시,옥계,기마봉 야산,강원도 강릉시옥계면 금진리 96,129.048468,37.655441,2000,300,공터,-,10,42150,033-640-5533
21,강원도,강릉시,정동진,고성산,강원도 강릉시강동면 정동진리 267-4,129.032624,37.69006,120,200,공터,-,52.8,42150,033-640-5569
22,강원도,강릉시,정동진,정동초등학교,강원도 강릉시강동면 정동진리 184,129.033574,37.687221,160,300,공공건축물,1등급,10,42150,033-640-5528
23,강원도,강릉시,정동진,정동허브랜드,강원도 강릉시강동면 정동진리 51-4,129.04094,37.681013,260,400,민간건축물,2등급,63.3,42150,033-640-5529
24,강원도,강릉시,주문진항,주영초등학교,강원도 강릉시주문진읍 약수동길 15-12,128.82891,37.897137,320,650,공공건축물,1등급,21.8,42150,033-640-5516
25,강원도,강릉시,주문진항,주문진감리교회,강원도 강릉시주문진읍 항구로 43,128.82637,37.89389,500,300,민간건축물,2등급,10,42150,033-640-5517
26,강원도,강릉시,주문진항,주문진성당,강원도 강릉시주문진읍 교향안길 51,128.821923,37.885274,300,500,민간건축물,2등급,19.7,42150,033-640-5518
27,강원도,강릉시,주문진해변,소돌휴게소,강원도 강릉시주문진읍 주문북로 228,128.82936,37.905039,470,250,민간건축물,2등급,19,42150,033-640-5514
28,강원도,강릉시,주문진해변,우일아파트 야산,강원도 강릉시주문진읍 주문리 산96-1,128.825099,37.904771,800,200,공터,-,24.4,42150,033-640-5515
29,강원도,고성군,가진지구,가진교회 고지대,고성군 죽왕면 가진리 123-3,128.507909,38.37254,200,148,공터,-,12,42820,033-680-3753
30,강원도,고성군,가진지구,가진항뒷산 고지대,고성군 죽왕면 가진리 산16임,128.510808,38.368111,300,69,공터,-,17,42820,033-680-3753
31,강원도,고성군,가진지구,동호리뒷산 고지대,고성군 간성읍 동호리 산10-3임,128.476095,38.391802,500,970,공터,-,22,42820,033-680-3753
32,강원도,고성군,거진지구,거진정보공업고등학교 고지대,고성군 거진읍 거진리 432,128.450281,38.440948,1500,393,학교운동장,-,10,42820,033-680-3753
33,강원도,고성군,거진지구,거성초등학교 고지대,고성군 거진읍 거진리 180,128.457383,38.45258,1500,437,학교운동장,-,29,42820,033-680-3753
34,강원도,고성군,거진지구,거진성황당 고지대,고성군 거진읍 거진리 10-6임,128.462411,38.450475,500,138,공터,-,32,42820,033-680-3753
35,강원도,고성군,거진지구,거진중학교 고지대,고성군 거진읍 봉평리 31-1,128.447698,38.447087,1500,628,학교운동장,-,11,42820,033-680-3753
36,강원도,고성군,공현진지구,공현진교회 고지대,고성군 죽왕면 공현진리 85,128.509234,38.355317,50,186,공터,-,20,42820,033-680-3753
37,강원도,고성군,공현진지구,송지호오토캠핑장뒷산 고지대,고성군 죽왕면 오봉리 12-2,128.511635,38.342031,200,385,공터,-,17,42820,033-680-3753
38,강원도,고성군,공현진지구,공현진초등학교 고지대,고성군 죽왕면 공현진리 334,128.507208,38.354208,700,309,공터,-,12,42820,033-680-3753
39,강원도,고성군,교암지구,동광초등학교 고지대,고성군 토성면 교암리 86,128.543935,38.288906,500,348,공터,-,11,42820,033-680-3753
40,강원도,고성군,교암지구,천학정야산 고지대,고성군 토성면 교암리 177-6임,128.547534,38.288391,200,55,공터,-,15,42820,033-680-3753
41,강원도,고성군,교암지구,백촌복지회관 고지대,고성군 토성면 백촌리 123,128.540417,38.291983,50,570,공터,-,10,42820,033-680-3753
42,강원도,고성군,대진지구,현내면공설운동장 고지대,고성군 현내면 대진리 310,128.41861,38.500797,2000,563,공터,-,14,42820,033-680-3753
43,강원도,고성군,대진지구,대진감리교회 고지대,고성군 현내면 대진리 189-1,128.426748,38.495172,300,242,공터,-,34,42820,033-680-3753
44,강원도,고성군,대진지구,대진초등학교 고지대,고성군 현내면 대진리 148,128.423675,38.497052,1700,214,학교운동장,-,11,42820,033-680-3753
45,강원도,고성군,대진지구,명파교회 고지대,고성군 현내면 명파리 295-33,128.401322,38.538386,300,562,공터,-,22,42820,033-680-3753
46,강원도,고성군,문암지구,문암진리앞산 고지대,고성군 죽왕면 문암진리 95-2임,128.543018,38.30018,300,285,공터,-,15,42820,033-680-3753
47,강원도,고성군,문암지구,오호초등학교뒷산 고지대,고성군 죽왕면 삼포리 215-5임,128.530779,38.314506,200,508,공터,-,13,42820,033-680-3753
48,강원도,고성군,문암지구,문암군부대앞산 고지대,고성군 죽왕면 문암진리 산1-8임,128.548043,38.30344,450,95,공터,-,25,42820,033-680-3753
49,강원도,고성군,반암지구,반암리뒷산 고지대,고성군 거진읍 반암리 73-1임,128.459125,38.423319,500,325,공터,-,24,42820,033-680-3753
50,강원도,고성군,반암지구,반암초소 고지대,고성군 거진읍 반암리 53-1임외 1,128.461126,38.423097,200,183,공터,-,33,42820,033-680-3753
51,강원도,고성군,봉포지구,속초기상대 고지대,고성군 토성면 봉포리 111-3,128.564404,38.250728,150,268,공터,-,18,42820,033-680-3753
52,강원도,고성군,봉포지구,경동대학교 고지대,고성군 토성면 봉포리 306-3,128.556468,38.25159,2000,649,공터,-,19,42820,033-680-3753
53,강원도,고성군,아야진지구,아야진침례교회 고지대,고성군 토성면 아야진리 41,128.555044,38.2725,150,95,공터,-,12,42820,033-680-3753
54,강원도,고성군,아야진지구,아야진장로교회 고지대,고성군 토성면 청간리 2-1,128.554321,38.2691,150,219,공터,-,16,42820,033-680-3753
55,강원도,고성군,아야진지구,토성정수장 고지대,고성군 토성면 청간리 산36-3임외 2,128.554793,38.265186,200,379,공터,-,30,42820,033-680-3753
56,강원도,고성군,아야진지구,아야진초등학교 고지대,고성군 토성면 아야진리 200,128.54959,38.27337,1600,413,학교운동장,-,27,42820,033-680-3753
57,강원도,고성군,오호지구,오호교회 고지대,고성군 죽왕면 오호리 170,128.525145,38.329206,150,236,공터,-,15,42820,033-680-3753
58,강원도,고성군,오호지구,삼포마을뒷산 고지대,고성군 죽왕면 삼포리 산55-1임외 3,128.529296,38.315042,150,442,공터,-,27,42820,033-680-3753
59,강원도,고성군,오호지구,죽왕초등학교뒷산 고지대,고성군 죽왕면 오호리 산39-1임,128.522738,38.330697,700,442,공터,-,20,42820,033-680-3753
60,강원도,고성군,천진지구,천진리뒷산(2) 고지대,고성군 토성면 천진리 산32임,128.553032,38.255495,550,691,공터,-,16,42820,033-680-3753
61,강원도,고성군,천진지구,천진리뒷산(1) 고지대,고성군 토성면 천진리 산3-1,128.555129,38.256005,400,445,공터,-,18,42820,033-680-3753
62,강원도,고성군,초도지구,대진중고등학교 고지대,고성군 현내면 초도리 75,128.433106,38.484328,490,296,학교운동장,-,15,42820,033-680-3753
63,강원도,고성군,초도지구,화진포정보화마을 고지대,고성군 현내면 초도리 84임,128.436931,38.483667,100,111,공터,-,30,42820,033-680-3753
64,강원도,고성군,초도지구,이승만별장 고지대,고성군 현내면 죽정리 산1-3임,128.401322,38.538386,50,689,공터,-,20,42820,033-680-3753
65,강원도,고성군,초도지구,초도항뒷산 고지대,고성군 현내면 초도리 222-30,128.430651,38.488511,50,151,공터,-,13,42820,033-680-3753
66,강원도,동해시,노봉지구,노봉해수욕장내 야산,망상동 170-1,129.0981604,37.5882871,400,100,공터,-,19.2,42170,033-530-2313
67,강원도,동해시,노봉지구,목재유통센터,망상동 721,129.099655,37.581666,400,700,공터,-,27.9,42170,033-530-2313
68,강원도,동해시,노봉지구,노봉택지,망상동 14-5,129.1054637,37.582091,400,550,공터,-,26.8,42170,033-530-2313
69,강원도,동해시,망상지구,기곡마을입구,망상동 409-21,129.080633,37.596084,5000,460,공터,-,23.6,42170,033-530-2313
70,강원도,동해시,망상지구,해군전적비,망상동 396-40,129.0846615,37.5939099,3000,290,공터,-,17.2,42170,033-530-2313
71,강원도,동해시,망상지구,망상초등학교 옆,망상동 360-5,129.089602,37.591345,2000,330,공터,-,10.1,42170,033-530-2313
72,강원도,동해시,묵호. 발한지구,일출공원,묵호진동 2-126,129.12004,37.55507,100,50,공터,-,23,42170,033-530-2313
73,강원도,동해시,묵호. 발한지구,논골도로,묵호진동 102-9,129.1162707,37.5541259,200,250,도로변,-,29.3,42170,033-530-2313
74,강원도,동해시,묵호. 발한지구,산제골도로,묵호진동 78-60,129.113747,37.553543,200,250,도로변,-,29.6,42170,033-530-2313
75,강원도,동해시,묵호. 발한지구,묵호대교,발한동 80-303,129.110979,37.541447,300,300,도로변,-,22,42170,033-530-2313
76,강원도,동해시,부곡지구,평릉공원,평릉동 102-2,129.112147,37.5360243,100,400,공터,-,22,42170,033-530-2313
77,강원도,동해시,부곡지구,하평 주차장,평릉동 84-1,129.1157289,37.5338776,50,150,공터,-,13.3,42170,033-530-2313
78,강원도,동해시,어달지구,대진도로,대진동 196-4,129.1125945,37.5798336,300,100,도로변,-,15.4,42170,033-530-2313
79,강원도,동해시,어달지구,단병공입구,대진동 155-8,129.114684,37.577017,200,200,도로변,-,23.9,42170,033-530-2313
80,강원도,동해시,어달지구,어달마을내 도로,어달동 134-5,129.117725,37.567126,400,100,도로변,-,12.2,42170,033-530-2313
81,강원도,동해시,어달지구,어달소공원,어달동 47,129.1186236,37.56548,400,280,공터,-,27.9,42170,033-530-2313
82,강원도,동해시,어달지구,선창횟집뒤,어달동 25,129.119225,37.562864,400,90,공터,-,20,42170,033-530-2313
83,강원도,동해시,어달지구,바위섬횟집뒤 도로,어달동 11-11번지,129.1189125,37.5607343,100,100,도로변,-,16.4,42170,033-530-2313
84,강원도,동해시,어달지구,동해비치호텔위 마을주차장,묵호진동 2-42번지,129.1207191,37.5578726,100,100,공터,-,20,42170,033-530-2313
85,강원도,동해시,용정지구,감추사해안도로주차장,천곡동 1090-28,129.124922,37.515598,30,150,공터,-,26.5,42170,033-530-2313
86,강원도,동해시,천곡지구,가세마을야산,천곡동 1-4번지,129.121971,37.527528,100,300,공터,-,22.1,42170,033-530-2313
87,강원도,동해시,천곡지구,법원삼거리옆 산책로,천곡동 1090-14번지,129.121746,37.519598,100,260,공터,-,18,42170,033-530-2313
88,강원도,동해시,추암지구,만경대,구미동 산 53,129.136641,37.4871541,50,100,공터,-,30.6,42170,033-530-2313
90,강원도,동해시,추암지구,북평공단 소공원,추암동 484-2,129.1554047,37.479607,200,400,공터,-,13,42170,033-530-2313
91,강원도,동해시,추암지구,추암조각공원,추암동 477,129.1574342,37.4796817,400,350,공터,-,11.3,42170,033-530-2313
128,강원도,삼척시,호산지구,빗물펌프장뒤공터,호산리 299-7,129.342842,37.173482,200,473,도로변,-,18,42230,033-570-3887
133,강원도,삼척시,증산지구,쏠비치주자창,수로부인길 453 (증산동산61-3번지),129.164759,37.472401,200,437,도로변,-,40,42230,033-570-3887
134,강원도,속초시,교동지구,설악중학교운동장,속초시 교동 780-5,128.578438,38.206688,2400,1200,학교운동장,-,40,42210,033-633-4992
135,강원도,속초시,교동지구,청학연립주차장고지대,속초시 청학동 486-184,128.584979,38.20319,710,350,공터,-,30,42210,033-639-2683
136,강원도,속초시,교동지구,속초교육문화관,속초시 금호동 488-2,128.585968,38.206458,220,590,공터,-,34,42210,033-639-2684
137,강원도,속초시,금호지구,속초여자중학교운동장,속초시 금호동 625-37,128.584739,38.207064,1500,770,학교운동장,-,32,42210,033-630-8500
138,강원도,속초시,금호지구,시청주차장고지대,속초시 중앙동 469-1,128.591128,38.207021,200,160,공터,-,22,42210,033-639-2684
139,강원도,속초시,금호지구,(구)측후소고지대,속초시 중앙동 469-41,128.5912,38.206673,500,190,공터,-,30,42210,033-639-2685
140,강원도,속초시,노학지구,속초여자고등학교운동장,속초시 교동 802-1,128.568006,38.199761,2000,1230,학교운동장,-,31,42210,033-634-3210
141,강원도,속초시,노학지구,아남프라자,속초시 교동 737-7,128.577567,38.197275,1800,460,민간건축물,1등급,50,42210,033-639-2686
142,강원도,속초시,대포지구,대포초등학교운동장,속초시 대포동 350,128.603249,38.174299,800,140,학교운동장,-,21,42210,033-635-3840
143,강원도,속초시,대포지구,할머니성황당고지대,속초시 대포동 대포항,128.60465,38.171426,1000,90,공터,-,23,42210,033-639-2685
144,강원도,속초시,대포지구,내물치 뒷산 고지대,속초시 대포동 내물치,128.606948,38.165088,700,110,공터,-,30,42210,033-639-2686
145,강원도,속초시,동명지구,속초감리교회,속초시 동명동 338,129.221761,35.21253,1500,450,공터,-,39,42210,033-639-2685
146,강원도,속초시,동명지구,동명성당고지대,속초시 동명동 333-3,128.594877,38.212953,500,410,공터,-,39,42210,033-639-2686
147,강원도,속초시,영랑지구,동명천주교회,속초시 동명동 333-3,128.594867,38.21293,180,410,공터,-,39,42210,033-639-2685
148,강원도,속초시,영랑지구,양우아파트고지대,속초시 영랑동 157,128.592672,38.2162,300,280,공터,-,21,42210,033-639-2686
149,강원도,속초시,영랑지구,중앙공원고지대,속초시 동명동 산 51,128.585083,38.215271,3100,580,공터,-,25,42210,033-639-2683
150,강원도,속초시,영랑지구,영금공원고지대,속초시 영랑동 1-7,128.599975,38.21388,1670,90,공터,-,38,42210,033-639-2684
151,강원도,속초시,장사지구,속초고등학교운동장,속초시 장사동 460,128.583699,38.225719,2670,460,학교운동장,-,20,42210,033-634-6000
152,강원도,속초시,장사지구,우림연립고지대,속초시 장사동 518-7,128.58519,38.226504,200,380,공터,-,18,42210,033-639-2683
153,강원도,속초시,장사지구,해경충혼탑고지대,속초시 장사동 482-3,128.586193,38.227893,300,50,공터,-,41,42210,033-639-2684
154,강원도,속초시,조양지구,설악고등학교운동장,속초시 조양동 589-7,128.573411,38.185521,3000,1150,학교운동장,-,60,42210,033-630-0300
155,강원도,속초시,조양지구,선사유적지고지대,속초시 조양동 산 142-8,128.570953,38.190191,1900,460,공터,-,36,42210,033-639-2684
156,강원도,속초시,청호1지구,(구)측후소고지대,속초시 중앙동 469-41,128.5912,38.206673,500,190,공터,-,30,42210,033-639-2686
158,강원도,속초시,청호1지구,설악대교,속초시 청호동 설악대교,128.593481,38.201803,300,190,도로변,-,24,42210,033-639-2683
159,강원도,속초시,청호1지구,금강대교,속초시 청호동 금강대교,128.5936,38.2049,500,160,도로변,-,24,42210,033-639-2684
160,강원도,속초시,청호2지구,이마트,속초시 청호동 459-134,128.595786,38.191238,500,520,민간건축물,1등급,24,42210,033-639-2685
163,강원도,속초시,청호3지구,수질환경사업소고지대,속초시 대포동 552,128.606057,38.184507,630,50,공터,-,18,42210,033-639-2684
164,강원도,속초시,청호3지구,(구)대포정수장고지대,속초시 대포동 산 44,128.599959,38.179108,600,580,공터,-,60,42210,033-639-2685
165,강원도,속초시,청호3지구,조양감리교회고지대,속초시 조양동 1289-15,128.602467,38.183971,1000,500,공터,-,25,42210,033-639-2686
166,강원도,양양군,기사문지구,기사문리철뚝,산54-2,128.73111,38.00555,300,350,공터,-,25,42830,033-670-2247
168,강원도,양양군,낙산지구,주청리야산,산6-1,128.6295028,38.1123417,500,500,공터,-,20,42830,033-670-2247
169,강원도,양양군,남애지구,남애리 야산,산1,128.786052,37.945723,200,300,공터,-,30,42830,033-670-2247
170,강원도,양양군,남애지구,남애리 야산,전46-2,128.785876,37.941682,200,200,공터,-,25,42830,033-670-2247
171,강원도,양양군,남애지구,남애리 야산,113-2,128.786086,37.940314,200,300,공터,-,25,42830,033-670-2247
172,강원도,양양군,동산지구,동산리야산,산58-01,128.759085,37.980265,100,250,공터,-,25,42830,033-670-2247
173,강원도,양양군,동호지구,동호리야산,산44,128.68222,38.05527,250,250,공터,-,30,42830,033-670-2247
174,강원도,양양군,동호지구,동호리공항도로,563-8도,128.6825,38.05138,250,500,공터,-,30,42830,033-670-2247
175,강원도,양양군,물치지구,물치리 야산,산12,128.61027,38.15361,300,170,공터,-,15,42830,033-670-2247
176,강원도,양양군,설악지구,용호리 야산,산1-3,128.62277,38.13166,300,100,공터,-,25,42830,033-670-2247
177,강원도,양양군,수산지구,수산리야산,산85-1,128.67277,38.07638,150,200,공터,-,25,42830,033-670-2247
178,강원도,양양군,수산지구,수산리야산,전20-2,128.67472,38.07333,150,200,공터,-,25,42830,033-670-2247
179,강원도,양양군,오산지구,오산리야산,산81-1,128.66583,38.08583,500,100,공터,-,25,42830,033-670-2247
180,강원도,양양군,지경. 원포지구,원포야산,산78,128.79333,37.92666,100,300,공터,-,20,42830,033-670-2247
181,강원도,양양군,지경. 원포지구,지경야산,산 1,128.79888,37.91694,100,500,공터,-,15,42830,033-670-2247
182,강원도,양양군,인구. 광진지구,인구야산,산1-1,128.7653083,37.9522056,100,300,공터,-,25,42830,033-670-2247
183,강원도,양양군,인구. 광진지구,천주교야산,산41-07,128.76194,37.96777,100,300,공터,-,20,42830,033-670-2247
184,강원도,양양군,인구. 광진지구,광진리야산,산51-01,128.7704389,37.9554167,100,100,공터,-,15,42830,033-670-2247
185,강원도,양양군,정암지구,정암리 야산,산64-02,128.615,38.13722,200,300,공터,-,20,42830,033-670-2247
186,강원도,양양군,하광정지구,하광정리 야산,산19,128.73,38.01722,500,350,공터,-,30,42830,033-670-2247
187,경상북도,경주시,감포지구,감포초등학교,감포읍 감포리 17,129.502019,35.809598,1300,300,학교운동장,-,15,47130,054-779-6508
188,경상북도,경주시,감포지구,감포읍사무소,감포읍 감포리 56-2,129.501676,35.8073959,100,170,공공건축물,미적용,15,47130,054-779-6508
189,경상북도,경주시,감포지구,감포읍 버스공용주차장,감포읍 전동리 115,129.496596,35.8034219,500,600,공터,-,30,47130,054-779-6508
190,경상북도,경주시,감포지구,감포읍 주민복지회관,감포읍 전촌리 224,129.493692,35.7985484,500,500,공공건축물,2등급,20,47130,054-779-6508
191,경상북도,경주시,관성지구,통일로 토종순대국,양남면 수렴리 94-1,129.4627,35.66755,500,150,공터,-,15,47130,054-779-6508
192,경상북도,경주시,관성지구,바다모텔 옆 야산,양남면 수렴리 산120,129.4509,35.65906,200,120,공터,-,15,47130,054-779-6508
193,경상북도,경주시,관성지구,현대자동차 수련원,양남면 수렴리 240-6,129.4586,35.66864,1000,300,공터,-,20,47130,054-779-6508
194,경상북도,경주시,나아지구,나산초등학교,양남면 읍천리 17,129.4703,35.69788,1000,400,학교운동장,-,15,47130,054-779-6508
195,경상북도,경주시,나정지구,전촌1리 마을회관,감포읍 전촌리 532-1,129.488369,35.7928527,50,550,공공건축물,미적용,15,47130,054-779-6508
196,경상북도,경주시,나정지구,나정2리 마을회관 뒤 솔밭,감포읍 나정리 223-2,129.492946,35.777644,1000,150,공터,-,20,47130,054-779-6508
197,경상북도,경주시,나정지구,시드니 낚시마트 뒤 야산,감포읍 전촌리 105-2,129.494894,35.792703,1000,100,공터,-,40,47130,054-779-6508
198,경상북도,경주시,나정지구,나정1리 마을회관 앞 야산,감포읍 나정리 203,129.4911,35.7789,500,180,공터,-,15,47130,054-779-6508
199,경상북도,경주시,대본지구,전망대횟집 앞 야산,감포읍 대본리 산172-2,129.4915,35.75277,1000,100,공터,-,15,47130,054-779-6508
200,경상북도,경주시,대본지구,대본초등학교,감포읍 대본리 669-2,129.4837,35.74529,200,100,학교운동장,-,15,47130,054-779-6508
201,경상북도,경주시,대본지구,감포관광단지 주차장,감포읍 대본리 42-1,129.4933,35.76554,3000,100,공터,-,15,47130,054-779-6508
202,경상북도,경주시,대본지구,대본3리 마을회관,감포읍 대본리 606-6,129.4861,35.74694,50,100,공공건축물,미적용,15,47130,054-779-6508
203,경상북도,경주시,봉길지구,수재마을소공원,양북면 봉길리 58-6외 2,129.4818,35.73638,100,300,공터,-,10,47130,054-779-6508
204,경상북도,경주시,오류지구,감포리조트펜션 주차장,감포읍 오류리 137,129.51843,35.8381731,500,130,공터,-,12,47130,054-779-6508
205,경상북도,경주시,오류지구,감포댐 입구,감포읍 오류리 산14-81,129.511997,35.8368554,1000,150,공터,-,12,47130,054-779-6508
206,경상북도,경주시,오류지구,일출빌라 뒤 야산,감포읍 오류리 326-2,129.510957,35.8162122,1000,200,공터,-,20,47130,054-779-6508
